date,province,region,metric,value
1/1/2019,Bangkok,central,ratio_tourist_stay,93.37
1/1/2019,Phayao ,north,no_tourist_foreign,3468
1/1/2019,Phetchabun ,north,no_tourist_foreign,2159
1/1/2019,Phrae ,north,no_tourist_foreign,9039
1/1/2019,Lampang ,north,no_tourist_foreign,10762
1/1/2019,Lamphun ,north,no_tourist_foreign,6577
1/1/2019,Mae Hong Son ,north,no_tourist_foreign,33424
1/1/2019,Uttaradit ,north,no_tourist_foreign,979
1/1/2019,Uthai Thani ,north,no_tourist_foreign,291
1/1/2019,Sukhothai ,north,no_tourist_foreign,43029
1/1/2019,Phitsanulok ,north,no_tourist_foreign,22744
1/1/2019,Nan ,north,no_tourist_foreign,2204
1/1/2019,Khon Kaen ,east_northeast,no_tourist_foreign,7972
1/1/2019,Chaiyaphum ,east_northeast,no_tourist_foreign,718
1/1/2019,Nakhon Phanom ,east_northeast,no_tourist_foreign,7434
1/1/2019,Nakhon Ratchasima ,east_northeast,no_tourist_foreign,20376
1/1/2019,Buriram ,east_northeast,no_tourist_foreign,5487
1/1/2019,Maha Sarakham ,east_northeast,no_tourist_foreign,1848
1/1/2019,Mukdahan ,east_northeast,no_tourist_foreign,14565
1/1/2019,Roi Et ,east_northeast,no_tourist_foreign,833
1/1/2019,Loei ,east_northeast,no_tourist_foreign,2774
1/1/2019,Kalasin ,east_northeast,no_tourist_foreign,522
1/1/2019,Sisaket ,south,no_tourist_foreign,2429
1/1/2019,Tak ,north,no_tourist_foreign,5646
1/1/2019,Phichit ,north,no_tourist_foreign,582
1/1/2019,Prachinburi ,east,no_tourist_foreign,13125
1/1/2019,Rayong ,east,no_tourist_foreign,69188
1/1/2019,Sa Kaeo ,east,no_tourist_foreign,34620
1/1/2019,Phuket ,south,no_tourist_foreign,1333007
1/1/2019,Phatthalung ,south,no_tourist_foreign,797
1/1/2019,Trang ,south,no_tourist_foreign,24316
1/1/2019,Ranong ,south,no_tourist_foreign,7054
1/1/2019,Chumphon ,south,no_tourist_foreign,10583
1/1/2019,Pattani ,south,no_tourist_foreign,154
1/1/2019,Nakhon Sawan ,north,no_tourist_foreign,6339
1/1/2019,Yala ,south,no_tourist_foreign,43417
1/1/2019,Narathiwat ,south,no_tourist_foreign,42389
1/1/2019,Krabi ,south,no_tourist_foreign,378823
1/1/2019,Songkhla ,south,no_tourist_foreign,242563
1/1/2019,Phang Nga ,south,no_tourist_foreign,384791
1/1/2019,Surat Thani ,south,no_tourist_foreign,357114
1/1/2019,Satun ,south,no_tourist_foreign,20079
1/1/2019,Kamphaeng Phet ,north,no_tourist_foreign,2238
1/1/2019,Chiang Rai ,north,no_tourist_foreign,67226
1/1/2019,Chiang Mai ,north,no_tourist_foreign,331956
1/1/2019,Nakhon Si Thammarat ,south,no_tourist_foreign,10962
1/1/2019,Nakhon Nayok ,east,no_tourist_foreign,2456
1/1/2019,Surin ,east_northeast,no_tourist_foreign,3605
